id,binsize,name,file_path,value_type,collection_id,intervals_id,file_path_feature_values,cluster_id_path,feature_distribution_path,thumbnail_path,normalization,cluster_number,dataset_id
17228,5000,1bebee1bf6564beaa1b4b8bca8b0dab7_embedding.npy,/code/temp/1bebee1bf6564beaa1b4b8bca8b0dab7_embedding.npy,2d-embedding,NULL,1448,NULL,/code/temp/92483fc683c6454b9c112c556cbc39f6_cluster_ids_small.npy,NULL,/code/temp/ca48995d621a42d1a6a96ddf8802757a_thumbnails_small.npy,ICCF,small,477
17229,5000,1bebee1bf6564beaa1b4b8bca8b0dab7_embedding.npy,/code/temp/1bebee1bf6564beaa1b4b8bca8b0dab7_embedding.npy,2d-embedding,NULL,1448,NULL,/code/temp/8e2d394d82314b17bebdb13a52480e00_cluster_ids_large.npy,NULL,/code/temp/0f165154813049a8b08ebb6f89f74190_thumbnails_large.npy,ICCF,large,477
17236,5000,acd4880bf6fb4ce18c541c76cba662aa_embedding.npy,/code/temp/acd4880bf6fb4ce18c541c76cba662aa_embedding.npy,2d-embedding,NULL,1448,NULL,/code/temp/a1068dd0c0bd4aa6b5cf63393946c2e8_cluster_ids_small.npy,NULL,/code/temp/7b9bf74f305f4d5d840c94e4e27038b7_thumbnails_small.npy,Obs/Exp,small,477
17237,5000,acd4880bf6fb4ce18c541c76cba662aa_embedding.npy,/code/temp/acd4880bf6fb4ce18c541c76cba662aa_embedding.npy,2d-embedding,NULL,1448,NULL,/code/temp/ec096e0515754ee39b17a1f5cebf90ef_cluster_ids_large.npy,NULL,/code/temp/871586d64b6948fa9b97d1f7c6da4e57_thumbnails_large.npy,Obs/Exp,large,477
17434,2000,b6f7f9441f1b4e00b1275f274f419b2a_embedding.npy,/code/temp/b6f7f9441f1b4e00b1275f274f419b2a_embedding.npy,1d-embedding,81,1448,/code/temp/682319e3dc384650a13de881aaa3d5e8_features.npy,/code/temp/038e55b6013244daa572b5598d747971_cluster_ids_small.npy,NULL,/code/temp/15e0820f3e19483f8ed06d9d685a2abd_average_values_small.npy,NULL,small,NULL
17435,2000,b6f7f9441f1b4e00b1275f274f419b2a_embedding.npy,/code/temp/b6f7f9441f1b4e00b1275f274f419b2a_embedding.npy,1d-embedding,81,1448,/code/temp/682319e3dc384650a13de881aaa3d5e8_features.npy,/code/temp/6fdead0a156b4679aa9fafd21a25143d_cluster_ids_large.npy,NULL,/code/temp/c6e6d8e569ad4e42a827e2457809458a_average_values_large.npy,NULL,large,NULL
17440,1000,dc58b31988484d5d89b8e451de959b8b_embedding.npy,/code/temp/dc58b31988484d5d89b8e451de959b8b_embedding.npy,1d-embedding,81,1448,/code/temp/418f60d92dc84e4cbb5be39f0cd0a7bf_features.npy,/code/temp/2a3faa5a83e94a56a5f482ec38463b0d_cluster_ids_small.npy,NULL,/code/temp/5a69c59e826842bd845384e472843dc6_average_values_small.npy,NULL,small,NULL
17441,1000,dc58b31988484d5d89b8e451de959b8b_embedding.npy,/code/temp/dc58b31988484d5d89b8e451de959b8b_embedding.npy,1d-embedding,81,1448,/code/temp/418f60d92dc84e4cbb5be39f0cd0a7bf_features.npy,/code/temp/2d14111c4eb14b9c921ca5cea40fa49e_cluster_ids_large.npy,NULL,/code/temp/b42f024750e94adcbbe9ab5f8b3145e6_average_values_large.npy,NULL,large,NULL
17454,5000,559752b85e2940c39a9a7a852c90fc5b_embedding.npy,/code/temp/559752b85e2940c39a9a7a852c90fc5b_embedding.npy,2d-embedding,NULL,1448,NULL,/code/temp/bdb0d4c8afb54c969555744ad07657c7_cluster_ids_small.npy,NULL,/code/temp/d2139631721147388886b05d9e15733f_thumbnails_small.npy,ICCF,small,146
17455,5000,559752b85e2940c39a9a7a852c90fc5b_embedding.npy,/code/temp/559752b85e2940c39a9a7a852c90fc5b_embedding.npy,2d-embedding,NULL,1448,NULL,/code/temp/f8a9d90bf07842018e691c836c323d9f_cluster_ids_large.npy,NULL,/code/temp/8897c53f15b1482188f391eafb6e0ab0_thumbnails_large.npy,ICCF,large,146
