id,binsize,name,file_path,file_path_small,dataset_id,intervals_id
23054,2000,5ce938e319064b8daf224d0191114542.npy,/code/temp/5ce938e319064b8daf224d0191114542.npy,/code/temp/5ce938e319064b8daf224d0191114542_small.npy,18,1448
23061,1000,b5f8b3056f3c4175a989a558b8eaf410.npy,/code/temp/b5f8b3056f3c4175a989a558b8eaf410.npy,/code/temp/b5f8b3056f3c4175a989a558b8eaf410_small.npy,18,1448
23156,2000,c8fa9d08787b444eb9a341f7c8b27465.npy,/code/temp/c8fa9d08787b444eb9a341f7c8b27465.npy,/code/temp/c8fa9d08787b444eb9a341f7c8b27465_small.npy,319,1448
23160,1000,93cc11a9355d4159aad70133459f6a8f.npy,/code/temp/93cc11a9355d4159aad70133459f6a8f.npy,/code/temp/93cc11a9355d4159aad70133459f6a8f_small.npy,319,1448
23162,2000,a4e9f194b28b462b99f4eb776468d269.npy,/code/temp/a4e9f194b28b462b99f4eb776468d269.npy,/code/temp/a4e9f194b28b462b99f4eb776468d269_small.npy,320,1448
23165,1000,21e5503f02204ba3b34ef4c25bbbd746.npy,/code/temp/21e5503f02204ba3b34ef4c25bbbd746.npy,/code/temp/21e5503f02204ba3b34ef4c25bbbd746_small.npy,320,1448
23192,2000,4f62b9612f984e389b28ae3aac919ac9.npy,/code/temp/4f62b9612f984e389b28ae3aac919ac9.npy,/code/temp/4f62b9612f984e389b28ae3aac919ac9_small.npy,10,1448
23197,1000,7923ba8db62c4134ab62e4c4711d42cb.npy,/code/temp/7923ba8db62c4134ab62e4c4711d42cb.npy,/code/temp/7923ba8db62c4134ab62e4c4711d42cb_small.npy,10,1448
23204,2000,f09c4e63a4ae4249b319993633740881.npy,/code/temp/f09c4e63a4ae4249b319993633740881.npy,/code/temp/f09c4e63a4ae4249b319993633740881_small.npy,11,1448
23205,1000,b8eff0ebc7d1425291b9fe520f51c0ff.npy,/code/temp/b8eff0ebc7d1425291b9fe520f51c0ff.npy,/code/temp/b8eff0ebc7d1425291b9fe520f51c0ff_small.npy,11,1448
23212,2000,8d683596296740b695381d2641571165.npy,/code/temp/8d683596296740b695381d2641571165.npy,/code/temp/8d683596296740b695381d2641571165_small.npy,163,1448
23216,1000,8d262f21cb48404a935d5c76ce87b6f0.npy,/code/temp/8d262f21cb48404a935d5c76ce87b6f0.npy,/code/temp/8d262f21cb48404a935d5c76ce87b6f0_small.npy,163,1448
23220,2000,e3a2336e9f0144578143487901675530.npy,/code/temp/e3a2336e9f0144578143487901675530.npy,/code/temp/e3a2336e9f0144578143487901675530_small.npy,165,1448
23222,1000,8ddb8728872f4b76bc3f8926ba9c0564.npy,/code/temp/8ddb8728872f4b76bc3f8926ba9c0564.npy,/code/temp/8ddb8728872f4b76bc3f8926ba9c0564_small.npy,165,1448
23226,2000,14ddfc3e13394b0abeef9248783acc3c.npy,/code/temp/14ddfc3e13394b0abeef9248783acc3c.npy,/code/temp/14ddfc3e13394b0abeef9248783acc3c_small.npy,460,1448
23230,2000,dc9e618d68c54fca9bc33fc3ac2c1db4.npy,/code/temp/dc9e618d68c54fca9bc33fc3ac2c1db4.npy,/code/temp/dc9e618d68c54fca9bc33fc3ac2c1db4_small.npy,461,1448
23233,1000,8c82af3121b24cacbea5688b67aea12d.npy,/code/temp/8c82af3121b24cacbea5688b67aea12d.npy,/code/temp/8c82af3121b24cacbea5688b67aea12d_small.npy,460,1448
23236,2000,d1fca23608614364975a7de9e00bf829.npy,/code/temp/d1fca23608614364975a7de9e00bf829.npy,/code/temp/d1fca23608614364975a7de9e00bf829_small.npy,462,1448
23241,2000,a198c61de0a943b6ab1f5b03948f39dc.npy,/code/temp/a198c61de0a943b6ab1f5b03948f39dc.npy,/code/temp/a198c61de0a943b6ab1f5b03948f39dc_small.npy,466,1448
23245,1000,cc423de69fea4fc0b16cb3c499ee6b91.npy,/code/temp/cc423de69fea4fc0b16cb3c499ee6b91.npy,/code/temp/cc423de69fea4fc0b16cb3c499ee6b91_small.npy,461,1448
